country,file,type,title,page,reform_area,benchmark,due_date,status,table_title
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,I. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria,55,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,II. Status of Implementation of Key Recommendations from 2019 Article IV Consultations,56,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,III. Risk Assessment Matrix (RAM),58,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,IV. External Sector Assessment,59,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,V. The Interest-to-Tax Revenue Ratio as a Guide for Fiscal Policy,64,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VI. Benin’s Access to Capital Markets: Opportunities and Risks,66,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VII. Scaling Up Benin’s Social Safety Nets,73,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VIII. Vulnerability to Climate Change and National Strategy,78,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,IX. Capacity Building and Technical Assistance Framework,81,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,1. Use of SDR Allocation,15,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,2. Estimating Benin’s Potential Growth,17,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,3. The Authorities’ Civilian Approach to Security Risks,20,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,4. Partial Passthrough and Fuel Subsidies Associated with the War in Ukraine,25,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,I. Risk Assessment Matrix (RAM),41,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,II. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria,42,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,III. Benin—Fuel Subsidies: Costly and Regressive,44,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,IV. Understanding Recent Inflation Developments in Benin,49,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Box,1. Fiscal safeguards review (FSR): Key Findings and Recommendations,14,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,Governance and Transparency Conduct and publish a governance diagnostic.,,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,Inclusion Transpose the WAEMU's regional financial inclusion Ministers in 2016) at the national level and design,,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,Revenue Mobilization Develop a medium-term revenue mobilization,,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,"Prepare a statement containing a quantitative analysis of fiscal risks in all key areas, including macroeconomic risks, public enterprises, debt management, contingent liabilities, natural disasters, pension and social securities, as part of the 2024 draft budget law documentation.",,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,"Management Publish all the criteria for the appraisal and selection of major investment projects, along with feasibility studies.",,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,"Submit to parliament a draft law to improve the organization and governance of the school feeding program (PNASI), covering the following aspects: (i) a sustainable financing strategy which includes the sharing of responsibilities between the central government, municipalities, and schools; (ii) a prioritization of coverage of the regions most susceptible to food insecurity risks; (iii) the adaptation and clarification of standards required for the delivery of food products to school canteens in order to promote the participation of local farmers; and (iv) gradually transferring the management of the PNASI to the Beninese authorities through the establishment of the National Institution in charge of school feeding.",,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,"Digitalize the processing of land titles requests, including through designing the land management application ( e-terre ) and developing its functionalities, providing training to ANDF ( Agence Nationale du Domaine et du Foncier) staff on the use of the new system and embedding data management tools to the new application.",,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 2. Benin: Structural Benchmarks, 2022-23",102,,Adoption by the Council of Ministers of (i) a Ministerial Decree designating the National Committee for the Coordination of Activities in the Area of AML/CFT (CNCA) as the AML/CFT supervisor for designated non-financial businesses and professions (DNFBPs) and setting out its powers and responsibilities to undertake risk-based supervision of the sector in line with FATF Recommendation 28; (ii) Ministerial decree to implement a targeted financial sanctions regime to comply with relevant United Nations Security Council resolutions related to terrorism and terrorism financing and proliferation financing in line with the recommendations (6 and 7) of the FATF and empowering the Consultative Committee on Administrative Freezing (CCGA) to effectively implement this regime.,,Met,"Table 2. Benin: Structural Benchmarks, 2022-23"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 2. Benin: Structural Benchmarks, 2022-23",102,,Adopt into law a secondary regulation requiring procurement agencies to collect BO information for companies awarded public procurement contracts above CFAF 10 million.,,Not met: implemented with delay,"Table 2. Benin: Structural Benchmarks, 2022-23"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 2. Benin: Structural Benchmarks, 2022-23",102,,Finalize the community validations of vulnerable households identified through the first cycle of proxy-mean test surveys (mass registration) in at least 70 of the 77 communes; and publish social registry results at the commune level on an easily accessibly government website.,,Not met: implemented with delay,"Table 2. Benin: Structural Benchmarks, 2022-23"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 2. Benin: Structural Benchmarks, 2022-23",102,,Publish on a regular basis the BO information for companies awarded public procurement contracts above CFAF 10 million on an easily accessible government website.,,Not met: implemented with delay,"Table 2. Benin: Structural Benchmarks, 2022-23"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 2. Benin: Structural Benchmarks, 2022-23",102,,Develop a strategy for rationalizing tax expenditures over 2023-25 (a detailed report on 2021 tax expenditures will be annexed to the draft budget law submitted to Parliament).,,,"Table 2. Benin: Structural Benchmarks, 2022-23"
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Governance and Transparency,Conduct and publish a governance diagnostic.,End-February 2023,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Financial Inclusion,Transpose the WAEMU's regional financial inclusion strategy (adopted by the WAEMU Council of Ministers in 2016) at the national level and design a comprehensive financial inclusion strategy for Benin.,End-March 2023,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Revenue Mobilization,Develop a medium-term revenue mobilization strategy (MTRS).,End-September 2023,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Public Financial Management,"Prepare a statement containing a quantitative analysis of fiscal risks in all key areas, including macroeconomic risks, public enterprises, debt management, contingent liabilities, natural disasters, pension and social securities, as part of the 2024 draft budget law documentation.",End-October 2023,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Public Financial Management,"Publish all the criteria for the appraisal and selection of major investment projects, along with feasibility studies. Financial",End-December 2023,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Food security,"[Submit to parliament a draft law to improve the organization and governance of the school feeding program (PNASI), covering the following aspects: (i) a sustainable financing strategy which includes the sharing of responsibilities between the central government, municipalities, and schools; (ii) a prioritization of coverage of the regions most susceptible to food insecurity risks; (iii) the adaptation and clarification of standards required for the delivery of food products to school canteens in order to promote the participation of local farmers; and (iv) gradually transferring the management of the PNASI to the Beninese authorities through the establishment of the National Institution in charge of school feeding.]",End-April 2023,Newly proposed,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,,102,Land titling,"Digitalize the processing of land titles requests, including through designing the land management application ( e-terre ) and developing its functionalities, providing training to ANDF ( Agence Nationale du Domaine et du Foncier) staff on the use of the new system and embedding data management tools to the new application.",End-April 2023,Newly proposed,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Annex,I. Risk Assessment Matrix,41,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Annex,II. Poverty Reduction and Growth Strategy,42,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Annex,III. Recent Initiatives to Promote Gender Equity,44,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Annex,IV. Addressing Vulnerability to Climate Change,46,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Annex,V. Food Insecurity in Benin: Tackling Structural Challenges in Agriculture,47,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Box,1. Recent Tax Performance and Next Steps in Domestic Revenue Mobilization,16,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Box,2. Key Findings of the IMF Governance Diagnostic,21,,,,,
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Governance and Transparency,Conduct and publish a governance diagnostic.,End-February 2023,Met,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Financial Inclusion,Transpose the WAEMU's regional financial inclusion strategy (adopted by the WAEMU Council of Ministers in 2016) at the national level and design a comprehensive financial inclusion strategy for Benin.,End-March 2023,Met,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Food security,"Submit to parliament a draft law to improve the organization and governance of the school feeding program (PNASI), covering the following aspects: (i) a sustainable financing strategy which includes the sharing of responsibilities between the central government, municipalities, and schools; (ii) a prioritization of coverage of the regions most susceptible to food insecurity risks; (iii) the adaptation and clarification of standards required for the delivery of food products to school canteens in order to promote the participation of local farmers; and (iv) gradually transferring the management of the PNASI to the Beninese authorities through the establishment of the National Institution in charge of school feeding.",End-April 2023,Met,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Land titling,"Digitalize the processing of land titles requests, including through designing the land management application ( e-terre ) and developing its functionalities, providing training to ANDF ( Agence Nationale du Domaine et du Foncier) staff on the use of the new system and embedding data management tools to the new application. Met",End-April 2023,,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Revenue Mobilization,Develop a medium-term strategy (MTRS).,End-September 2023,,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24",61,Public Financial Management,"Prepare a statement containing a quantitative analysis of fiscal risks in all key areas, including macroeconomic risks, public enterprises, debt management, contingent liabilities, natural disasters, pension and social securities, as part of the 2024 draft budget law documentation.",End-October 2023,,"Table 11. Benin: Structural Benchmarks, 2023-24"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)",62,Public Financial Management,"Publish all the criteria for the appraisal and selection of major investment projects, along with feasibility studies.",End-December 2023,,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)",62,Rule of law,"Operationalize the Commercial Court of Appeal with staffing, funding, and equipment to help fill an important gap in Benin's judicial framework and promote greater transparency.",End-November 2023,Newly proposed,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)",62,Anti-corruption,"Operationalize the HCPC ( Haut Commissariat à la Prévention de la Corruption ) and strengthen its legal framework to ensure its independence and powers, in consultation with IMF staff",End-June 2024,Newly proposed,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)",62,Public Financial Management,"Update the list of bank accounts of public organizations before the end of August 2023 and close at least half of those subject to the obligation to deposit funds in the Treasury and not benefiting from an exemption authorization from the MEF, while repatriating the balances to the public Treasury, no later than the end of June 2024",End-June 2024,Newly proposed,"Table 11. Benin: Structural Benchmarks, 2023-24 (concluded)"
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Governance and Transparency,Conduct and publish a governance diagnostic.,End-February 2023,Met,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Financial Inclusion,Transpose the WAEMU's regional financial inclusion strategy (adopted by the WAEMU Council of Ministers in 2016) at the national level and design a comprehensive financial inclusion strategy for Benin.,End-March 2023,Met,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Food security,Submit to parliament a draft law to improve the and governance of the school End-April 2023 organization,,Met,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Land titling,"Digitalize the processing of land titles requests, including through designing the land management application ( e-terre ) and developing its functionalities, providing training to ANDF ( Agence Nationale du Domaine et du Foncier) staff on the use of the new system and embedding data management tools to the new application.",End-April 2023,Met,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Revenue Mobilization,Develop a medium-term revenue mobilization strategy (MTRS).,End-September 2023,,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24,101,Public Financial Management,"Prepare a statement containing a quantitative analysis of fiscal risks in all key areas, including macroeconomic risks, public enterprises, debt management, contingent liabilities, natural disasters, pension and social securities, as part of the 2024 draft budget law documentation.",End-October 2023,,Table 2. Benin: Structural Benchmarks for 2023-24
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded),101,Public Financial Management,"Publish all the criteria for the appraisal and selection of major investment projects, along with feasibility studies.",End-December 2023,,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded)
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded),101,Rule of law,"Operationalize the Commercial Court of Appeal with staffing, funding, and equipment to help fill an important gap in Benin's judicial framework and promote greater transparency. End- November 2023 Rule",,Newly proposed,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded)
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded),101,Anti-corruption,"Operationalize the HCPC ( Haut Commissariat à la Prévention de la Corruption ) and strengthen its legal framework to ensure its independence and powers, in",End-June 2024,Newly proposed,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded)
BEN,BEN_2023_EFF_ECF_Review2_Standalone_Post_Combined_2.pdf,Structural Benchmark,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded),101,Public Financial Management,"Update the list of bank accounts of public organizations before the end of August 2023 and close at least half of those subject to the obligation to deposit funds in the Treasury and not benefiting from an exemption authorization from the MEF, while repatriating the balances to the public Treasury, no later than the end of June 2024",End-June 2024,Newly proposed,Table 2. Benin: Structural Benchmarks for 2023-24 (concluded)
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Annex,I. External Sector Assessment,58,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Annex,II. Risk Assessment Matrix (RAM),62,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Annex,III. Building Resilience to Climate Change,63,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Annex,IV. Policy lessons from DIGNAD Simulations,77,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Box,1. The Medium-Term Revenue Strategy (MTRS),17,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Box,2. Climate Risks to Food Security in Benin,19,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Box,3. Implications for Benin of the Phase out of Fuel Subsidy in Nigeria,21,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Box,4. The Cost of Climate Inaction,24,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Box,5. Mobilizing Private Climate Finance,28,,,,,
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Revenue Mobilization,Develop a medium-term revenue strategy (MTRS).,End-September 2023,Met,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Public Financial Management,"Prepare a statement containing a quantitative analysis of fiscal risks in all key areas, including macroeconomic risks, public enterprises, debt management, contingent liabilities, natural disasters, pension and social securities, as part of the 2024 draft budget law documentation.",End-October 2023,Met,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Public Financial Management,"Publish all the criteria for the appraisal and selection of major investment projects, along with feasibility studies. On track",End-December 2023,,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Rule of law,"Operationalize the Commercial Court of Appeal with staffing, funding, and equipment to help fill an important gap in Benin's judicial framework and promote greater transparency.",End-November 2023,Met,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Anti-corruption,"Operationalize the HCPC ( Haut Commissariat à la Prévention de la Corruption ) and strengthen its legal framework to ensure its independence and powers, in consultation with IMF staff On track",End-June 2024,,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
BEN,BEN_2023_EFF_ECF_Review3_Standalone_Pre_Combined.pdf,Structural Benchmark,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24",152,Public Financial Management,"Update the list of bank accounts of public organizations before least half of those subject to the obligation to deposit funds an exemption authorization from the MEF, while repatriating later than the end of June 2024 the end of August 2023 and close at in the Treasury and not benefiting from the balances to the public Treasury, no End-June 2024 On track",,,"Table 12. Benin: Remaining Structural Benchmarks Under the Current EFF/ECF Arrangement, 2023-24"
